X (um),Y (um),R (um),Theta (rad),Air Hole Radius (um),Air Hole Radius2 (um),air_hole_shape,Fiber Radius (um),Fiber Material,Distance Between Holes (um),fiber_core_radius(um),Wavelength (nm),Effective Index (neff_real),Effective mode area(um^2),Nonlinear coefficient(1/W/km),Dispersion (ps/nm/km),GVD(ps^2/km)
7.0,0.0,7.0,0.0,2.1999999999999997,2.1999999999999997,circle,18.0,GeO2,7.0,4.8e-06,400.2769142377824,1.6348819999785047,42.25417656815308,8.135678859565376,-3103.004142104813,263.7559821412804
3.500000000000001,6.0621778264910695,7.0,1.0471975511965976,2.1999999999999997,2.1999999999999997,circle,,,,,403.5378259627338,1.6340275177356098,42.26561343304032,8.067752315529194,-3006.0758734132655,259.6972284572737
-3.4999999999999982,6.06217782649107,6.999999999999999,2.0943951023931953,2.1999999999999997,2.1999999999999997,circle,,,,,406.85230502608283,1.6331833161010196,42.27716166911811,7.99984144859304,-2911.562964939804,255.68109943795423
-7.0,8.572527594031471e-16,7.0,3.141592653589793,2.1999999999999997,2.1999999999999997,circle,,,,,410.22168229337956,1.6323492713141021,42.288824118035855,7.931946249463759,-2819.6679327418283,251.72947193464455
-3.500000000000003,-6.062177826491069,7.000000000000001,-2.094395102393196,2.1999999999999997,2.1999999999999997,circle,,,,,413.6473330849735,1.6315252616142906,42.30060371588132,7.864066709293854,-2730.317206535706,247.84059339541585
3.499999999999995,-6.062177826491073,7.0,-1.0471975511965985,2.1999999999999997,2.1999999999999997,circle,,,,,417.1306790477944,1.6307111671724153,42.312503497450926,7.796202819641112,-2643.4435446643033,244.01312200370248
14.0,0.0,14.0,0.0,2.1999999999999997,2.1999999999999997,circle,,,,,420.6731901225102,1.629906870022717,42.32452660073685,7.72835457242926,-2558.977134437815,240.24532870665965
10.500000000000002,6.0621778264910695,12.12435565298214,0.5235987755982988,2.1999999999999997,2.1999999999999997,circle,,,,,424.27638661178224,1.629112253995279,42.33667627167533,7.660521959904005,-2476.8537007434306,236.53584023411105
7.000000000000002,12.124355652982139,14.0,1.0471975511965976,2.1999999999999997,2.1999999999999997,circle,,,,,427.94184135572857,1.628327204648773,42.34895586913118,7.592704974591844,-2397.0109461635466,232.88332668665356
2.541098841762901e-15,12.124355652982139,12.124355652982139,1.5707963267948963,2.1999999999999997,2.1999999999999997,circle,,,,,431.6711820211379,1.6275516092033913,42.361368870165954,7.524903609255845,-2319.385782176284,229.2862337038773
-6.9999999999999964,12.12435565298214,13.999999999999998,2.0943951023931953,2.1999999999999997,2.1999999999999997,circle,,,,,435.4660935114336,1.6267853564738388,42.373918875596765,7.4571178568502665,-2243.91887790835,225.7432223150675
-10.499999999999998,6.062177826491071,12.124355652982139,2.6179938779914944,2.1999999999999997,2.1999999999999997,circle,,,,,439.3283205048832,1.6260283368022532,42.386609615853814,7.389347710475878,-2170.552682412102,222.25298806435742
-14.0,1.7145055188062942e-15,14.0,3.141592653589793,2.1999999999999997,2.1999999999999997,circle,,,,,443.25967012908797,1.6252804419909201,42.39944495717898,7.32159316333196,-2099.231424642331,218.81426625510557
-10.500000000000004,-6.062177826491069,12.124355652982143,-2.617993877991495,2.1999999999999997,2.1999999999999997,circle,,,,,447.26201478036637,1.624541565234635,42.4124289081589,7.253854208669835,-2029.900717972865,215.42579571194491
-7.000000000000006,-12.124355652982137,14.000000000000002,-2.094395102393196,2.1999999999999997,2.1999999999999997,circle,,,,,451.3372950972718,1.6238116010525656,42.425565626644875,7.186130839742821,-1962.5075601337567,212.0863211962433
-7.623296525288703e-15,-12.124355652982143,12.124355652982143,-1.5707963267948972,2.1999999999999997,2.1999999999999997,circle,,,,,455.4875230981662,1.6230904452194506,42.43885942705916,7.118423049756949,-1897.0005310349857,208.79461786090064
6.99999999999999,-12.124355652982146,14.0,-1.0471975511965985,2.1999999999999997,2.1999999999999997,circle,,,,,459.7147854935089,1.6223779946959749,42.452314788131496,7.050730831819367,-1833.3299905122585,205.54951841721456
10.499999999999995,-6.062177826491073,12.124355652982137,-0.5235987755982993,2.1999999999999997,2.1999999999999997,circle,,,,,464.0212471843146,1.6216741475581382,42.46593636107937,6.983054178887057,-1771.446693919256,202.3497625628424
,,,,,,,,,,,468.4091549591071,1.6209788029254273,42.479728978279645,6.915393083712919,-1711.3055497928192,199.19442762104964
,,,,,,,,,,,472.8808414026308,1.620291860887601,42.49369766245042,6.84774753879165,-1652.8596867426431,196.08225936581778
,,,,,,,,,,,477.43872903060804,1.6196132224298587,42.50784763638642,6.780117536304152,-1596.0646065939995,193.01214386532683
,,,,,,,,,,,482.08533466594236,1.6189427893561745,42.52218433328025,6.712503068061393,-1540.878777736135,189.98319673541246
,,,,,,,,,,,486.82327407297873,1.6182804642105488,42.5367134076797,6.644904125446419,-1487.258493091972,186.9941414509007
,,,,,,,,,,,491.6552668677477,1.6176261501959035,42.55144074712006,6.577320699355457,-1435.1653853455646,184.04423571837052
,,,,,,,,,,,496.58414172356464,1.6169797510903514,42.566372484480134,6.50975278013807,-1384.5575273464553,181.13216359449336
,,,,,,,,,,,501.61284189291723,1.616341171160513,42.581515011115606,6.4422003575362545,-1335.398925031782,178.25724579669475
,,,,,,,,,,,506.74443106829244,1.6157103150715633,42.59687499083217,6.37466342062166,-1287.6502222384756,175.41824162692618
,,,,,,,,,,,511.98209960646597,1.6150870877936356,42.61245937474812,6.307141957732807,-1241.2768092910712,172.61441969204785
,,,,,,,,,,,517.3291711428259,1.6144713945041966,42.62827541712824,6.239635956410091,-1196.24150550864,169.84457512810667
